repudiate	(verb)
duress	(noun)
ebullience	(noun)
orator	(noun)
interloper	(noun)
inscrutable	(adjective)
draconian	(adjective)
intermittent	(adjective)
insipid	(adjective)
despot	(noun)
cognizant	(adjective)
phlegmatic	(adjective)
despair	(noun)
miscreant	(noun)
mercenary	(adjective)
legitimate	(adjective)
figurehead	(noun)
indifferent	(adjective)
partial	(adjective)
